repo_owner,repo_name,username,date,total_additions,total_deletions,commit_count,pr_count,issue_count
rkhxream,2020-1-OSS-1,ubcbsoqz,2020-06-06,202,131,9,4,1
rkhxream,2020-1-OSS-6,ysvczkmr,2020-05-21,79933,120,67,7,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-08,147,67,11,3,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-05,114,15,5,2,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-09,124,96,4,3,1
rkhxream,c9-python-getting-started,ybmlneou,2020-06-08,43,48,5,1,1
rkhxream,c9-python-getting-started,lbfgdond,2020-06-06,63,63,9,3,4
rkhxream,c9-python-getting-started,ybmlneou,2020-06-06,85,61,6,3,2
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-08,328,1,5,1,2
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-10,385,1,7,3,4
sfouyrgk,2020-2-OSS-6-Project,byackmcb,2020-12-05,20,12,2,1,2
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-05-28,194,54,13,1,3
osrzlwsr,LSC-Systems,fovhdtqk,2020-07-21,218,99,10,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-27,2530,957,8,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-23,366,170,4,1,3
dvzkrvad,icampus-manager,dvzkrvad,2022-10-26,396,180,8,2,3
dvzkrvad,icampus-manager,dvzkrvad,2022-10-18,892,184,10,3,5
dvzkrvad,icampus-manager,dvzkrvad,2022-11-08,615,467,12,4,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-17,1402,773,13,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-29,41,17,6,3,3
dvzkrvad,icampus-manager,dvzkrvad,2022-11-16,391,67,7,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-17,641,29,7,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-24,1142,196,8,2,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-03,3393,1034,14,8,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-07,1599,313,10,3,4
dvzkrvad,icampus-manager,dvzkrvad,2022-11-01,2102,514,5,1,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-06,214,85,5,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-19,97,21,5,2,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-04,719,171,10,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-25,12,3,3,2,1
bohojnej,OSS_Collab,bohojnej,2021-05-23,327,291,1,1,1
xyanlalz,final-project-level3-nlp-01,srpmrxlr,2022-06-02,561,184,4,1,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-07,162,88,10,1,3
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-12,415,270,9,2,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-13,911,819,12,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-04,262,227,9,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-09,46743,4142,6,1,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2022-12-19,164,4,3,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-06,1471,913,15,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-27,46,15,4,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-12,841,473,20,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-05,281,131,5,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-11,564,297,10,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-30,607,304,10,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-26,576,137,7,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-17,2593,854,2,1,5
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-24,354,386,3,1,1
gnaytozf,level2_dkt_recsys-level2-recsys-01,bbweorzv,2022-12-02,1070,487,6,4,1
gnaytozf,level2_dkt_recsys-level2-recsys-01,bbweorzv,2022-11-25,1,1,1,1,1
gnaytozf,level2_movierecommendation_recsys-level2-recsys-01,bbweorzv,2023-01-02,4439,2385,17,1,4
lcizbtay,creator_prop_analyzer,lcizbtay,2022-10-23,36434,464,14,2,1
bsdaxbfv,NetProject,ivcshfyd,2022-06-01,15,0,1,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-08,581,250,16,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-07,717,363,8,2,4
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-29,800,382,14,2,4
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-01,8882,43519,19,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-28,587,245,9,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-02,255,259,7,1,1
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-12,1684,1739,13,1,2
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-21,146,26,4,2,2
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-20,378,108,6,3,1
xqdbcihj,seq2seq,xqdbcihj,2021-03-20,227,101,4,2,1
xqdbcihj,transformers-tf-finetune,xqdbcihj,2022-10-28,748,978,8,2,1
xqdbcihj,seq2seq,xqdbcihj,2021-03-21,113,86,2,2,1
xqdbcihj,seq2seq,xqdbcihj,2021-05-23,243,211,1,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-06,788,412,13,3,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-13,23,42,2,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-13,107,88,6,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-21,180,103,6,3,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-14,4,3,1,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-01,1,0,1,1,1
xqdbcihj,transformers-bart-pretrain,xqdbcihj,2021-07-03,124,53,6,2,1
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-10,2056,474,15,2,1
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-13,824,1198,9,5,2
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-08,4315,1010,3,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-16,1864,202,5,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-14,2256,556,11,5,1
nfkrwywr,dokkang-application,xqdbcihj,2022-11-03,416,421,7,1,1
nfkrwywr,dokkang-server,xqdbcihj,2022-10-13,107,4,4,3,2
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-05-21,16,0,1,0,1
rkhxream,2020-1-OSS-6,ysvczkmr,2020-06-08,59,14,13,0,3
sfouyrgk,2020-2-OSS-4,asvpyioe,2020-12-05,18,0,1,0,1
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-09,99,17,9,0,1
sfouyrgk,2020-2-OSS-9,thwqqent,2020-11-19,12,1,3,0,1
uvncbhon,LGuplus,qmaviegi,2022-06-16,20,18,6,0,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-15,25,0,1,0,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-06,162,3,9,0,2
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-19,262,62,3,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-18,282,442,6,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-22,172,73,3,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-30,3720,1040,6,2,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-19,105,117,7,2,2
cbggxvsc,ProjectYOLO,ppicncro,2022-11-08,316,185,7,2,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-14,49345,24464,10,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-09,771,655,4,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-11,25893,23624,6,1,1
fovhdtqk,hun-piano,fovhdtqk,2020-07-23,504,0,1,1,5
kwwjkrbl,iCampusCheckPlus,bifxjiur,2022-05-22,13,24,3,0,1
